County,StateCode,Deaths,Population,Category
Neshoba County, MS (28099),14,"29,403",Influenza and pneumonia
Newton County, MS (28101),12,"21,558",Influenza and pneumonia
Pearl River County, MS (28109),17,"55,310",Influenza and pneumonia
Pike County, MS (28113),12,"39,667",Influenza and pneumonia
Prentiss County, MS (28117),10,"25,256",Influenza and pneumonia
Rankin County, MS (28121),27,"150,228",Influenza and pneumonia
Simpson County, MS (28127),15,"26,912",Influenza and pneumonia
Warren County, MS (28149),17,"47,140",Influenza and pneumonia
Barry County, MO (29009),13,"35,732",Influenza and pneumonia
Boone County, MO (29019),13,"176,594",Influenza and pneumonia
Buchanan County, MO (29021),15,"88,938",Influenza and pneumonia
Camden County, MO (29029),13,"44,497",Influenza and pneumonia
Cape Girardeau County, MO (29031),23,"78,913",Influenza and pneumonia
Cass County, MO (29037),27,"102,845",Influenza and pneumonia
Clay County, MO (29047),21,"239,085",Influenza and pneumonia
Cole County, MO (29051),17,"76,631",Influenza and pneumonia
Dunklin County, MO (29069),13,"30,535",Influenza and pneumonia
Franklin County, MO (29071),30,"102,838",Influenza and pneumonia
Greene County, MO (29077),56,"288,690",Influenza and pneumonia
Jackson County, MO (29095),93,"691,801",Influenza and pneumonia
Jasper County, MO (29097),31,"119,111",Influenza and pneumonia
Jefferson County, MO (29099),48,"224,226",Influenza and pneumonia
Laclede County, MO (29105),13,"35,490",Influenza and pneumonia
Lincoln County, MO (29113),11,"55,267",Influenza and pneumonia
Marion County, MO (29127),11,"28,894",Influenza and pneumonia
Newton County, MO (29145),12,"58,694",Influenza and pneumonia
Pettis County, MO (29159),15,"42,213",Influenza and pneumonia
St. Charles County, MO (29183),60,"390,918",Influenza and pneumonia
St. Louis County, MO (29189),222,"998,581",Influenza and pneumonia
Stone County, MO (29209),10,"31,047",Influenza and pneumonia
St. Louis city, MO (29510),42,"311,404",Influenza and pneumonia
Cascade County, MT (30013),16,"81,755",Influenza and pneumonia
Flathead County, MT (30029),15,"98,082",Influenza and pneumonia
Gallatin County, MT (30031),11,"104,502",Influenza and pneumonia
Yellowstone County, MT (30111),24,"158,437",Influenza and pneumonia
Adams County, NE (31001),19,"31,684",Influenza and pneumonia
Buffalo County, NE (31019),12,"49,383",Influenza and pneumonia
Douglas County, NE (31055),85,"554,995",Influenza and pneumonia
Gage County, NE (31067),10,"21,799",Influenza and pneumonia
Lancaster County, NE (31109),39,"309,637",Influenza and pneumonia
Madison County, NE (31119),12,"35,015",Influenza and pneumonia
Sarpy County, NE (31153),24,"179,023",Influenza and pneumonia
Clark County, NV (32003),416,"2,155,664",Influenza and pneumonia
Elko County, NV (32007),14,"52,168",Influenza and pneumonia
Lyon County, NV (32019),13,"53,179",Influenza and pneumonia
Nye County, NV (32023),14,"43,423",Influenza and pneumonia
Washoe County, NV (32031),75,"453,616",Influenza and pneumonia
Carson City, NV (32510),10,"54,742",Influenza and pneumonia
Cheshire County, NH (33005),24,"75,774",Influenza and pneumonia
Grafton County, NH (33009),10,"88,888",Influenza and pneumonia
Hillsborough County, NH (33011),68,"407,761",Influenza and pneumonia
Merrimack County, NH (33013),16,"148,582",Influenza and pneumonia
Rockingham County, NH (33015),37,"303,251",Influenza and pneumonia
Strafford County, NH (33017),18,"127,428",Influenza and pneumonia
Atlantic County, NJ (34001),41,"270,991",Influenza and pneumonia
Bergen County, NJ (34003),153,"939,151",Influenza and pneumonia
Burlington County, NJ (34005),68,"449,284",Influenza and pneumonia
Camden County, NJ (34007),80,"510,150",Influenza and pneumonia
Cape May County, NJ (34009),14,"94,430",Influenza and pneumonia
Cumberland County, NJ (34011),24,"153,797",Influenza and pneumonia
Essex County, NJ (34013),99,"796,914",Influenza and pneumonia
Gloucester County, NJ (34015),56,"292,330",Influenza and pneumonia
Hudson County, NJ (34017),58,"677,983",Influenza and pneumonia
Hunterdon County, NJ (34019),15,"124,676",Influenza and pneumonia
Mercer County, NJ (34021),32,"371,023",Influenza and pneumonia
Middlesex County, NJ (34023),101,"837,073",Influenza and pneumonia
Monmouth County, NJ (34025),75,"625,846",Influenza and pneumonia
Morris County, NJ (34027),60,"498,423",Influenza and pneumonia
Ocean County, NJ (34029),107,"592,497",Influenza and pneumonia
Passaic County, NJ (34031),58,"507,945",Influenza and pneumonia
Salem County, NJ (34033),19,"63,436",Influenza and pneumonia
Somerset County, NJ (34035),49,"333,751",Influenza and pneumonia
Sussex County, NJ (34037),17,"142,522",Influenza and pneumonia
Union County, NJ (34039),65,"555,630",Influenza and pneumonia
Warren County, NJ (34041),17,"106,617",Influenza and pneumonia
Bernalillo County, NM (35001),105,"676,953",Influenza and pneumonia
Chaves County, NM (35005),16,"65,282",Influenza and pneumonia
Dona Ana County, NM (35013),32,"214,207",Influenza and pneumonia
McKinley County, NM (35031),25,"74,923",Influenza and pneumonia
Otero County, NM (35035),14,"65,410",Influenza and pneumonia
Rio Arriba County, NM (35039),13,"40,040",Influenza and pneumonia
Sandoval County, NM (35043),30,"142,025",Influenza and pneumonia
Santa Fe County, NM (35049),17,"148,651",Influenza and pneumonia
Valencia County, NM (35061),12,"75,626",Influenza and pneumonia
Albany County, NY (36001),62,"308,846",Influenza and pneumonia
Allegany County, NY (36003),13,"47,077",Influenza and pneumonia
Bronx County, NY (36005),405,"1,455,720",Influenza and pneumonia
Broome County, NY (36007),43,"195,334",Influenza and pneumonia
Cattaraugus County, NY (36009),11,"77,677",Influenza and pneumonia
Cayuga County, NY (36011),28,"77,861",Influenza and pneumonia
Chautauqua County, NY (36013),22,"129,504",Influenza and pneumonia
Chemung County, NY (36015),20,"86,322",Influenza and pneumonia
Chenango County, NY (36017),13,"48,579",Influenza and pneumonia
Columbia County, NY (36021),21,"60,989",Influenza and pneumonia
Cortland County, NY (36023),25,"48,070",Influenza and pneumonia
Dutchess County, NY (36027),61,"294,473",Influenza and pneumonia
Erie County, NY (36029),206,"921,046",Influenza and pneumonia
Fulton County, NY (36035),16,"53,828",Influenza and pneumonia
Genesee County, NY (36037),14,"58,482",Influenza and pneumonia
Greene County, NY (36039),11,"47,508",Influenza and pneumonia
Herkimer County, NY (36043),15,"62,613",Influenza and pneumonia
Jefferson County, NY (36045),10,"114,006",Influenza and pneumonia
Kings County, NY (36047),651,"2,629,150",Influenza and pneumonia
Livingston County, NY (36051),17,"64,257",Influenza and pneumonia
Madison County, NY (36053),13,"71,329",Influenza and pneumonia
Monroe County, NY (36055),180,"747,727",Influenza and pneumonia
Montgomery County, NY (36057),20,"49,276",Influenza and pneumonia
Nassau County, NY (36059),273,"1,361,500",Influenza and pneumonia
New York County, NY (36061),272,"1,643,734",Influenza and pneumonia
Niagara County, NY (36063),52,"211,758",Influenza and pneumonia
Oneida County, NY (36065),55,"231,190",Influenza and pneumonia
Onondaga County, NY (36067),119,"466,194",Influenza and pneumonia
Ontario County, NY (36069),18,"109,828",Influenza and pneumonia
Orange County, NY (36071),80,"379,210",Influenza and pneumonia
Oswego County, NY (36075),23,"118,987",Influenza and pneumonia
Putnam County, NY (36079),23,"98,900",Influenza and pneumonia
Queens County, NY (36081),607,"2,333,054",Influenza and pneumonia
Rensselaer County, NY (36083),29,"160,070",Influenza and pneumonia
Richmond County, NY (36085),158,"476,015",Influenza and pneumonia
Rockland County, NY (36087),91,"326,780",Influenza and pneumonia
St. Lawrence County, NY (36089),19,"110,038",Influenza and pneumonia
Saratoga County, NY (36091),39,"227,053",Influenza and pneumonia
Schenectady County, NY (36093),27,"154,553",Influenza and pneumonia
Steuben County, NY (36101),32,"96,940",Influenza and pneumonia
Suffolk County, NY (36103),296,"1,492,583",Influenza and pneumonia
Sullivan County, NY (36105),22,"74,801",Influenza and pneumonia
Tompkins County, NY (36109),11,"104,871",Influenza and pneumonia
Ulster County, NY (36111),40,"179,225",Influenza and pneumonia
Warren County, NY (36113),16,"64,567",Influenza and pneumonia
Washington County, NY (36115),14,"61,800",Influenza and pneumonia
Wayne County, NY (36117),25,"90,798",Influenza and pneumonia
Westchester County, NY (36119),213,"974,542",Influenza and pneumonia
Wyoming County, NY (36121),11,"40,791",Influenza and pneumonia
Alamance County, NC (37001),34,"159,688",Influenza and pneumonia
Anson County, NC (37007),14,"25,448",Influenza and pneumonia
Brunswick County, NC (37019),24,"126,953",Influenza and pneumonia
Buncombe County, NC (37021),54,"256,088",Influenza and pneumonia
Burke County, NC (37023),24,"88,851",Influenza and pneumonia
Cabarrus County, NC (37025),34,"201,590",Influenza and pneumonia
Caldwell County, NC (37027),23,"81,449",Influenza and pneumonia
Carteret County, NC (37031),11,"68,890",Influenza and pneumonia
Caswell County, NC (37033),10,"22,910",Influenza and pneumonia
Catawba County, NC (37035),38,"156,459",Influenza and pneumonia
Chatham County, NC (37037),10,"72,243",Influenza and pneumonia
Cleveland County, NC (37045),27,"97,144",Influenza and pneumonia
Columbus County, NC (37047),10,"56,505",Influenza and pneumonia
Craven County, NC (37049),15,"103,445",Influenza and pneumonia
Cumberland County, NC (37051),64,"327,127",Influenza and pneumonia
Currituck County, NC (37053),16,"25,809",Influenza and pneumonia
Dare County, NC (37055),12,"35,964",Influenza and pneumonia
Davidson County, NC (37057),49,"164,926",Influenza and pneumonia
Davie County, NC (37059),15,"42,013",Influenza and pneumonia
Durham County, NC (37063),24,"306,212",Influenza and pneumonia
Edgecombe County, NC (37065),12,"53,318",Influenza and pneumonia
Forsyth County, NC (37067),89,"371,511",Influenza and pneumonia
Gaston County, NC (37071),66,"216,965",Influenza and pneumonia
Guilford County, NC (37081),102,"521,330",Influenza and pneumonia
Halifax County, NC (37083),13,"51,766",Influenza and pneumonia
Harnett County, NC (37085),15,"130,881",Influenza and pneumonia
Haywood County, NC (37087),23,"60,682",Influenza and pneumonia
Henderson County, NC (37089),34,"114,209",Influenza and pneumonia
Iredell County, NC (37097),46,"172,916",Influenza and pneumonia
Johnston County, NC (37101),30,"191,450",Influenza and pneumonia
Lenoir County, NC (37107),14,"57,307",Influenza and pneumonia
Lincoln County, NC (37109),19,"81,168",Influenza and pneumonia
McDowell County, NC (37111),10,"45,075",Influenza and pneumonia
Mecklenburg County, NC (37119),110,"1,054,835",Influenza and pneumonia
Moore County, NC (37125),15,"95,776",Influenza and pneumonia
Nash County, NC (37127),24,"94,005",Influenza and pneumonia
New Hanover County, NC (37129),30,"223,483",Influenza and pneumonia
Onslow County, NC (37133),22,"187,136",Influenza and pneumonia
Orange County, NC (37135),12,"141,796",Influenza and pneumonia
Pasquotank County, NC (37139),10,"39,864",Influenza and pneumonia
Pitt County, NC (37147),10,"177,220",Influenza and pneumonia
Randolph County, NC (37151),26,"143,416",Influenza and pneumonia
Richmond County, NC (37153),10,"44,939",Influenza and pneumonia
Robeson County, NC (37155),32,"133,235",Influenza and pneumonia
Rockingham County, NC (37157),30,"91,393",Influenza and pneumonia
Rowan County, NC (37159),62,"139,933",Influenza and pneumonia
Sampson County, NC (37163),17,"63,124",Influenza and pneumonia
Stanly County, NC (37167),17,"60,791",Influenza and pneumonia
Stokes County, NC (37169),16,"46,097",Influenza and pneumonia
Surry County, NC (37171),28,"72,113",Influenza and pneumonia
Transylvania County, NC (37175),12,"33,482",Influenza and pneumonia
Union County, NC (37179),37,"226,606",Influenza and pneumonia
Vance County, NC (37181),20,"44,244",Influenza and pneumonia
Wake County, NC (37183),76,"1,046,791",Influenza and pneumonia
Wayne County, NC (37191),24,"124,150",Influenza and pneumonia
Wilkes County, NC (37193),34,"68,740",Influenza and pneumonia
Wilson County, NC (37195),12,"81,661",Influenza and pneumonia
Yadkin County, NC (37197),23,"37,532",Influenza and pneumonia
Cass County, ND (38017),21,"175,249",Influenza and pneumonia
Morton County, ND (38059),11,"30,809",Influenza and pneumonia
Ward County, ND (38101),10,"70,210",Influenza and pneumonia
Williams County, ND (38105),16,"34,337",Influenza and pneumonia
Adams County, OH (39001),12,"27,907",Influenza and pneumonia
Allen County, OH (39003),51,"103,742",Influenza and pneumonia
Ashtabula County, OH (39007),34,"98,231",Influenza and pneumonia
Athens County, OH (39009),13,"66,186",Influenza and pneumonia
Auglaize County, OH (39011),10,"45,894",Influenza and pneumonia
Belmont County, OH (39013),21,"68,673",Influenza and pneumonia
Butler County, OH (39017),68,"377,537",Influenza and pneumonia
Clark County, OH (39023),37,"134,786",Influenza and pneumonia
Clermont County, OH (39025),46,"203,022",Influenza and pneumonia
Columbiana County, OH (39029),31,"103,685",Influenza and pneumonia
Crawford County, OH (39033),14,"42,083",Influenza and pneumonia
Cuyahoga County, OH (39035),187,"1,249,352",Influenza and pneumonia
Darke County, OH (39037),21,"51,778",Influenza and pneumonia
Delaware County, OH (39041),20,"196,463",Influenza and pneumonia
Erie County, OH (39043),14,"75,107",Influenza and pneumonia
Fairfield County, OH (39045),18,"152,597",Influenza and pneumonia
Franklin County, OH (39049),201,"1,264,518",Influenza and pneumonia
Geauga County, OH (39055),18,"94,060",Influenza and pneumonia
Greene County, OH (39057),27,"164,765",Influenza and pneumonia
Guernsey County, OH (39059),12,"39,063",Influenza and pneumonia
Hamilton County, OH (39061),140,"809,099",Influenza and pneumonia
Hancock County, OH (39063),11,"75,872",Influenza and pneumonia
Highland County, OH (39071),12,"43,029",Influenza and pneumonia
Huron County, OH (39077),12,"58,439",Influenza and pneumonia
Jackson County, OH (39079),10,"32,505",Influenza and pneumonia
Jefferson County, OH (39081),26,"66,704",Influenza and pneumonia
Knox County, OH (39083),21,"60,814",Influenza and pneumonia
Lake County, OH (39085),42,"228,614",Influenza and pneumonia
Lawrence County, OH (39087),10,"60,872",Influenza and pneumonia
Licking County, OH (39089),25,"172,198",Influenza and pneumonia
Lorain County, OH (39093),64,"306,365",Influenza and pneumonia
Lucas County, OH (39095),64,"432,488",Influenza and pneumonia
Mahoning County, OH (39099),53,"230,008",Influenza and pneumonia
Marion County, OH (39101),15,"65,096",Influenza and pneumonia
Medina County, OH (39103),14,"177,221",Influenza and pneumonia
Miami County, OH (39109),33,"104,679",Influenza and pneumonia
Montgomery County, OH (39113),95,"531,239",Influenza and pneumonia
Muskingum County, OH (39119),24,"86,068",Influenza and pneumonia
Pickaway County, OH (39129),11,"57,565",Influenza and pneumonia
Pike County, OH (39131),10,"28,160",Influenza and pneumonia
Portage County, OH (39133),34,"161,921",Influenza and pneumonia
Putnam County, OH (39137),12,"34,056",Influenza and pneumonia
Richland County, OH (39139),20,"121,107",Influenza and pneumonia
Ross County, OH (39141),18,"77,000",Influenza and pneumonia
Scioto County, OH (39145),16,"76,088",Influenza and pneumonia
Stark County, OH (39151),77,"373,612",Influenza and pneumonia
Summit County, OH (39153),84,"540,300",Influenza and pneumonia
Trumbull County, OH (39155),70,"201,825",Influenza and pneumonia
Tuscarawas County, OH (39157),22,"92,420",Influenza and pneumonia
Van Wert County, OH (39161),21,"28,362",Influenza and pneumonia
Warren County, OH (39165),22,"227,063",Influenza and pneumonia
Washington County, OH (39167),14,"60,610",Influenza and pneumonia
Wayne County, OH (39169),14,"116,470",Influenza and pneumonia
Wood County, OH (39173),17,"130,219",Influenza and pneumonia
Canadian County, OK (40017),11,"136,532",Influenza and pneumonia
Cleveland County, OK (40027),27,"278,655",Influenza and pneumonia
Comanche County, OK (40031),20,"122,136",Influenza and pneumonia
Creek County, OK (40037),17,"71,312",Influenza and pneumonia
Delaware County, OK (40041),11,"41,598",Influenza and pneumonia
Garfield County, OK (40047),12,"62,603",Influenza and pneumonia
Jackson County, OK (40065),11,"25,497",Influenza and pneumonia
Muskogee County, OK (40101),26,"69,477",Influenza and pneumonia
Oklahoma County, OK (40109),86,"782,970",Influenza and pneumonia
Okmulgee County, OK (40111),16,"39,213",Influenza and pneumonia
Pittsburg County, OK (40121),11,"44,173",Influenza and pneumonia
Rogers County, OK (40131),10,"91,766",Influenza and pneumonia
Tulsa County, OK (40143),86,"642,940",Influenza and pneumonia
Washington County, OK (40147),11,"52,087",Influenza and pneumonia
Clackamas County, OR (41005),40,"408,062",Influenza and pneumonia
Coos County, OR (41011),16,"63,761",Influenza and pneumonia
Deschutes County, OR (41017),21,"181,307",Influenza and pneumonia
Douglas County, OR (41019),21,"108,457",Influenza and pneumonia
Jackson County, OR (41029),28,"216,527",Influenza and pneumonia
Josephine County, OR (41033),17,"85,904",Influenza and pneumonia
Lane County, OR (41039),48,"369,519",Influenza and pneumonia
Linn County, OR (41043),14,"122,849",Influenza and pneumonia
Marion County, OR (41047),39,"336,316",Influenza and pneumonia
Multnomah County, OR (41051),74,"799,766",Influenza and pneumonia
Polk County, OR (41053),11,"81,823",Influenza and pneumonia
Washington County, OR (41067),42,"582,779",Influenza and pneumonia
Yamhill County, OR (41071),14,"105,035",Influenza and pneumonia
Adams County, PA (42001),19,"102,180",Influenza and pneumonia
Allegheny County, PA (42003),253,"1,225,365",Influenza and pneumonia
Armstrong County, PA (42005),20,"66,486",Influenza and pneumonia
Beaver County, PA (42007),52,"167,429",Influenza and pneumonia
Bedford County, PA (42009),15,"48,325",Influenza and pneumonia
Berks County, PA (42011),84,"414,812",Influenza and pneumonia
Blair County, PA (42013),27,"124,650",Influenza and pneumonia
Bradford County, PA (42015),10,"60,770",Influenza and pneumonia
Bucks County, PA (42017),108,"626,399",Influenza and pneumonia
Butler County, PA (42019),40,"186,847",Influenza and pneumonia
Cambria County, PA (42021),44,"134,732",Influenza and pneumonia
Carbon County, PA (42025),13,"63,594",Influenza and pneumonia
Centre County, PA (42027),26,"161,464",Influenza and pneumonia
Chester County, PA (42029),58,"516,312",Influenza and pneumonia
Clearfield County, PA (42033),22,"80,596",Influenza and pneumonia
Columbia County, PA (42037),14,"66,420",Influenza and pneumonia
Crawford County, PA (42039),18,"86,257",Influenza and pneumonia
Cumberland County, PA (42041),51,"248,506",Influenza and pneumonia
Dauphin County, PA (42043),55,"273,707",Influenza and pneumonia
Delaware County, PA (42045),126,"563,402",Influenza and pneumonia
Elk County, PA (42047),14,"30,480",Influenza and pneumonia
Erie County, PA (42049),55,"276,207",Influenza and pneumonia
Fayette County, PA (42051),34,"132,733",Influenza and pneumonia
Franklin County, PA (42055),39,"153,851",Influenza and pneumonia
Greene County, PA (42059),12,"37,197",Influenza and pneumonia
Indiana County, PA (42063),15,"86,364",Influenza and pneumonia
Lackawanna County, PA (42069),47,"211,321",Influenza and pneumonia
Lancaster County, PA (42071),58,"538,500",Influenza and pneumonia
Lawrence County, PA (42073),24,"87,294",Influenza and pneumonia
Lebanon County, PA (42075),34,"138,863",Influenza and pneumonia
Lehigh County, PA (42077),52,"363,147",Influenza and pneumonia
Luzerne County, PA (42079),57,"316,383",Influenza and pneumonia
Lycoming County, PA (42081),20,"115,248",Influenza and pneumonia
Mc Kean County, PA (42083),13,"41,883",Influenza and pneumonia
Mercer County, PA (42085),33,"112,913",Influenza and pneumonia
Mifflin County, PA (42087),12,"46,342",Influenza and pneumonia
Monroe County, PA (42089),21,"166,098",Influenza and pneumonia
Montgomery County, PA (42091),165,"821,725",Influenza and pneumonia
Northampton County, PA (42095),49,"302,294",Influenza and pneumonia
Northumberland County, PA (42097),27,"92,541",Influenza and pneumonia
Perry County, PA (42099),14,"45,820",Influenza and pneumonia
Philadelphia County, PA (42101),250,"1,567,872",Influenza and pneumonia
Schuylkill County, PA (42107),45,"143,573",Influenza and pneumonia
Somerset County, PA (42111),23,"75,061",Influenza and pneumonia
Washington County, PA (42125),42,"207,981",Influenza and pneumonia
Westmoreland County, PA (42129),84,"355,458",Influenza and pneumonia
York County, PA (42133),83,"443,744",Influenza and pneumonia
Bristol County, RI (44001),12,"49,067",Influenza and pneumonia
Kent County, RI (44003),30,"164,614",Influenza and pneumonia
Newport County, RI (44005),24,"82,784",Influenza and pneumonia
Providence County, RI (44007),81,"633,673",Influenza and pneumonia
Washington County, RI (44009),18,"126,288",Influenza and pneumonia
Aiken County, SC (45003),23,"167,458",Influenza and pneumonia
Anderson County, SC (45007),25,"196,569",Influenza and pneumonia
Beaufort County, SC (45013),20,"183,149",Influenza and pneumonia
Berkeley County, SC (45015),25,"210,898",Influenza and pneumonia
Charleston County, SC (45019),31,"396,484",Influenza and pneumonia
Cherokee County, SC (45021),47,"56,646",Influenza and pneumonia
Chester County, SC (45023),10,"32,181",Influenza and pneumonia
Chesterfield County, SC (45025),13,"46,013",Influenza and pneumonia
Darlington County, SC (45031),18,"67,234",Influenza and pneumonia
Dorchester County, SC (45035),20,"153,773",Influenza and pneumonia
Florence County, SC (45041),17,"138,742",Influenza and pneumonia
Greenville County, SC (45045),50,"498,766",Influenza and pneumonia
Greenwood County, SC (45047),14,"70,133",Influenza and pneumonia
Horry County, SC (45051),44,"322,342",Influenza and pneumonia
Lancaster County, SC (45057),13,"89,594",Influenza and pneumonia
Laurens County, SC (45059),12,"66,777",Influenza and pneumonia
Lexington County, SC (45063),37,"286,196",Influenza and pneumonia
Oconee County, SC (45073),12,"76,355",Influenza and pneumonia
Orangeburg County, SC (45075),15,"87,903",Influenza and pneumonia
Pickens County, SC (45077),17,"122,863",Influenza and pneumonia
Richland County, SC (45079),36,"409,549",Influenza and pneumonia
Spartanburg County, SC (45083),54,"301,463",Influenza and pneumonia
Sumter County, SC (45085),14,"107,396",Influenza and pneumonia
York County, SC (45091),26,"258,526",Influenza and pneumonia
Beadle County, SD (46005),13,"18,101",Influenza and pneumonia
Brown County, SD (46013),11,"39,128",Influenza and pneumonia
Minnehaha County, SD (46099),25,"187,318",Influenza and pneumonia
Pennington County, SD (46103),14,"109,372",Influenza and pneumonia
Anderson County, TN (47001),17,"75,936",Influenza and pneumonia
Bedford County, TN (47003),14,"47,484",Influenza and pneumonia
Benton County, TN (47005),11,"16,014",Influenza and pneumonia
Blount County, TN (47009),41,"128,670",Influenza and pneumonia
Bradley County, TN (47011),19,"104,490",Influenza and pneumonia
Campbell County, TN (47013),19,"39,714",Influenza and pneumonia
Carroll County, TN (47017),11,"28,092",Influenza and pneumonia
Carter County, TN (47019),36,"56,502",Influenza and pneumonia
Chester County, TN (47023),10,"17,453",Influenza and pneumonia
Claiborne County, TN (47025),25,"31,757",Influenza and pneumonia
Cocke County, TN (47029),11,"35,219",Influenza and pneumonia
Coffee County, TN (47031),11,"54,682",Influenza and pneumonia
Cumberland County, TN (47035),12,"58,655",Influenza and pneumonia
Davidson County, TN (47037),91,"684,410",Influenza and pneumonia
Dickson County, TN (47043),15,"52,170",Influenza and pneumonia
Fayette County, TN (47047),16,"39,590",Influenza and pneumonia
Franklin County, TN (47051),12,"41,700",Influenza and pneumonia
Gibson County, TN (47053),16,"49,401",Influenza and pneumonia
Greene County, TN (47059),44,"68,615",Influenza and pneumonia
Hamblen County, TN (47063),17,"63,785",Influenza and pneumonia
Hamilton County, TN (47065),57,"357,738",Influenza and pneumonia
Hardin County, TN (47071),13,"25,679",Influenza and pneumonia
Hawkins County, TN (47073),17,"56,563",Influenza and pneumonia
Johnson County, TN (47091),10,"17,754",Influenza and pneumonia
Knox County, TN (47093),102,"456,132",Influenza and pneumonia
Lawrence County, TN (47099),20,"43,081",Influenza and pneumonia
Loudon County, TN (47105),14,"51,454",Influenza and pneumonia
McMinn County, TN (47107),14,"52,850",Influenza and pneumonia
Madison County, TN (47113),22,"97,663",Influenza and pneumonia
Marshall County, TN (47117),16,"31,915",Influenza and pneumonia
Maury County, TN (47119),46,"89,981",Influenza and pneumonia
Monroe County, TN (47123),10,"45,970",Influenza and pneumonia
Montgomery County, TN (47125),13,"195,734",Influenza and pneumonia
Putnam County, TN (47141),31,"75,931",Influenza and pneumonia
Rhea County, TN (47143),10,"32,442",Influenza and pneumonia
Roane County, TN (47145),12,"52,874",Influenza and pneumonia
Robertson County, TN (47147),24,"69,165",Influenza and pneumonia
Rutherford County, TN (47149),36,"308,251",Influenza and pneumonia
Scott County, TN (47151),10,"21,947",Influenza and pneumonia
Sevier County, TN (47155),29,"96,673",Influenza and pneumonia
Shelby County, TN (47157),172,"934,603",Influenza and pneumonia
Sullivan County, TN (47163),56,"156,667",Influenza and pneumonia
Sumner County, TN (47165),26,"180,063",Influenza and pneumonia
Tipton County, TN (47167),10,"61,303",Influenza and pneumonia
Unicoi County, TN (47171),16,"17,719",Influenza and pneumonia
Washington County, TN (47179),46,"127,440",Influenza and pneumonia
Williamson County, TN (47187),19,"219,107",Influenza and pneumonia
Wilson County, TN (47189),23,"132,781",Influenza and pneumonia
Anderson County, TX (48001),11,"57,734",Influenza and pneumonia
Angelina County, TX (48005),13,"87,791",Influenza and pneumonia
Bastrop County, TX (48021),12,"82,733",Influenza and pneumonia
Bell County, TX (48027),36,"340,411",Influenza and pneumonia
Bexar County, TX (48029),147,"1,928,680",Influenza and pneumonia
Bowie County, TX (48037),12,"93,860",Influenza and pneumonia
Brazoria County, TX (48039),29,"354,195",Influenza and pneumonia
Brown County, TX (48049),10,"38,271",Influenza and pneumonia
Cameron County, TX (48061),39,"422,135",Influenza and pneumonia
Collin County, TX (48085),64,"939,585",Influenza and pneumonia
Comal County, TX (48091),18,"134,788",Influenza and pneumonia
Dallas County, TX (48113),240,"2,574,984",Influenza and pneumonia
Denton County, TX (48121),76,"806,180",Influenza and pneumonia
Ector County, TX (48135),16,"157,462",Influenza and pneumonia
Ellis County, TX (48139),13,"168,499",Influenza and pneumonia
El Paso County, TX (48141),67,"837,918",Influenza and pneumonia
Fort Bend County, TX (48157),71,"741,237",Influenza and pneumonia
Galveston County, TX (48167),45,"329,431",Influenza and pneumonia
Grayson County, TX (48181),18,"128,235",Influenza and pneumonia
Gregg County, TX (48183),14,"123,745",Influenza and pneumonia
Guadalupe County, TX (48187),17,"155,265",Influenza and pneumonia
Harris County, TX (48201),439,"4,589,928",Influenza and pneumonia
Harrison County, TX (48203),13,"66,534",Influenza and pneumonia
Hays County, TX (48209),12,"204,470",Influenza and pneumonia
Henderson County, TX (48213),14,"79,901",Influenza and pneumonia
Hidalgo County, TX (48215),78,"849,843",Influenza and pneumonia
Hunt County, TX (48231),15,"92,073",Influenza and pneumonia
Jefferson County, TX (48245),25,"254,679",Influenza and pneumonia
Johnson County, TX (48251),20,"163,274",Influenza and pneumonia
Kaufman County, TX (48257),12,"118,350",Influenza and pneumonia
Kerr County, TX (48265),19,"51,504",Influenza and pneumonia
Liberty County, TX (48291),14,"81,704",Influenza and pneumonia
Lubbock County, TX (48303),27,"303,137",Influenza and pneumonia
McLennan County, TX (48309),21,"247,934",Influenza and pneumonia
Midland County, TX (48329),39,"162,565",Influenza and pneumonia
Montgomery County, TX (48339),52,"556,203",Influenza and pneumonia
Nueces County, TX (48355),44,"361,350",Influenza and pneumonia
Palo Pinto County, TX (48363),12,"28,053",Influenza and pneumonia
Parker County, TX (48367),21,"129,441",Influenza and pneumonia
Potter County, TX (48375),16,"120,832",Influenza and pneumonia
Randall County, TX (48381),14,"132,501",Influenza and pneumonia
Rockwall County, TX (48397),14,"93,978",Influenza and pneumonia
San Patricio County, TX (48409),11,"67,655",Influenza and pneumonia
Smith County, TX (48423),35,"225,290",Influenza and pneumonia
Starr County, TX (48427),18,"64,122",Influenza and pneumonia
Tarrant County, TX (48439),186,"2,016,872",Influenza and pneumonia
Taylor County, TX (48441),19,"136,535",Influenza and pneumonia
Tom Green County, TX (48451),10,"118,386",Influenza and pneumonia
Travis County, TX (48453),71,"1,199,323",Influenza and pneumonia
Van Zandt County, TX (48467),20,"54,355",Influenza and pneumonia
Victoria County, TX (48469),10,"92,467",Influenza and pneumonia
Washington County, TX (48477),13,"35,056",Influenza and pneumonia
Webb County, TX (48479),14,"271,193",Influenza and pneumonia
Wharton County, TX (48481),13,"41,735",Influenza and pneumonia
Wichita County, TX (48485),13,"131,838",Influenza and pneumonia
Williamson County, TX (48491),29,"528,718",Influenza and pneumonia
Wise County, TX (48497),13,"64,455",Influenza and pneumonia
Wood County, TX (48499),11,"44,227",Influenza and pneumonia
